DataNo;Date;Time;Millisecond;Urms-1;Urms-2;Urms-3;Urms-SIGMA;Irms-1;Irms-2;Irms-3;Irms-SIGMA;P-1;P-2;P-3;P-SIGMA;FreqU-1;FreqI-1;Q-1;Q-2;Q-3;Q-SIGMA;S-1;S-2;S-3;S-SIGMA;PF-1;PF-2;PF-3;PF-SIGMA;Uthd-1;Uthd-2;Uthd-3;Ithd-1;Ithd-2;Ithd-3;CfU-1;CfU-2;CfU-3;CfI-1;CfI-2;CfI-3;Idc-1;Idc-2;Idc-3;I(k)-1-Total;I(k)-2-Total;I(k)-3-Total;U(k)-1-Total;U(k)-2-Total;U(k)-3-Total;U(k)-1-500
561;2025/08/20;13:59:27;737;212,589 ;212,565 ;212,327 ;212,494 ;0,80701E+03;0,82102E+03;0,83168E+03;0,81991E+03;142,047E+03;144,739E+03;147,035E+03;433,821E+03;56,822 ;56,804 ;96,210E+03;97,509E+03;97,798E+03;291,516E+03;171,562E+03;174,521E+03;176,589E+03;522,672E+03;0,82796 ;0,82935 ;0,83264 ;0,83001 ;38,789 ;38,274 ;38,331 ;7,569 ;7,517 ;7,438 ;1,641 ;1,629 ;1,589 ;1,623 ;1,608 ;1,584 ;-0,00006E+03;0,00051E+03;-0,00081E+03;0,78012E+03;0,78385E+03;0,82074E+03;207,635 ;207,653 ;207,817 ;NAN
562;2025/08/20;13:59:28;238;211,953 ;211,810 ;211,588 ;211,784 ;0,85357E+03;0,86580E+03;0,87262E+03;0,86400E+03;149,327E+03;152,053E+03;153,307E+03;454,686E+03;56,926 ;56,923 ;102,140E+03;102,519E+03;102,894E+03;307,552E+03;180,917E+03;183,385E+03;184,635E+03;548,938E+03;0,82539 ;0,82914 ;0,83032 ;0,82830 ;38,681 ;38,235 ;38,754 ;7,335 ;7,015 ;6,997 ;1,605 ;1,608 ;1,639 ;1,601 ;1,595 ;1,601 ;0,00029E+03;0,00009E+03;-0,00060E+03;0,80566E+03;0,84438E+03;0,86430E+03;206,633 ;207,641 ;207,053 ;NAN
563;2025/08/20;13:59:28;738;210,303 ;210,164 ;209,970 ;210,146 ;0,90354E+03;0,91376E+03;0,92265E+03;0,91332E+03;157,266E+03;159,594E+03;161,086E+03;477,945E+03;56,936 ;56,923 ;106,651E+03;106,812E+03;107,622E+03;321,085E+03;190,018E+03;192,039E+03;193,729E+03;575,786E+03;0,82763 ;0,83105 ;0,83150 ;0,83007 ;38,496 ;38,695 ;38,212 ;6,914 ;6,731 ;6,698 ;1,621 ;1,620 ;1,639 ;1,608 ;1,600 ;1,606 ;-0,00045E+03;0,00048E+03;0,00115E+03;0,85572E+03;0,88072E+03;0,91255E+03;206,114 ;206,494 ;206,187 ;NAN
564;2025/08/20;13:59:29;237;209,137 ;209,035 ;208,794 ;208,989 ;0,95678E+03;0,97058E+03;0,97649E+03;0,96795E+03;165,278E+03;168,488E+03;169,462E+03;503,227E+03;56,945 ;56,951 ;112,792E+03;113,024E+03;113,365E+03;339,182E+03;200,097E+03;202,885E+03;203,885E+03;606,867E+03;0,82599 ;0,83046 ;0,83116 ;0,82922 ;38,500 ;37,998 ;38,530 ;6,380 ;6,312 ;6,427 ;1,597 ;1,615 ;1,636 ;1,595 ;1,595 ;1,580 ;0,00111E+03;-0,00160E+03;0,00036E+03;0,93032E+03;0,95037E+03;0,95272E+03;205,555 ;205,491 ;204,780 ;NAN
565;2025/08/20;13:59:29;738;208,060 ;207,929 ;207,706 ;207,898 ;1,00907E+03;1,02351E+03;1,03067E+03;1,02108E+03;172,909E+03;176,121E+03;177,379E+03;526,409E+03;56,977 ;56,966 ;119,079E+03;119,471E+03;119,854E+03;358,403E+03;209,946E+03;212,819E+03;214,075E+03;636,840E+03;0,82359 ;0,82756 ;0,82858 ;0,82660 ;38,429 ;38,196 ;38,224 ;6,374 ;6,075 ;6,107 ;1,616 ;1,630 ;1,630 ;1,581 ;1,588 ;1,578 ;-0,00019E+03;0,00089E+03;-0,00166E+03;0,96227E+03;1,00210E+03;1,02108E+03;203,905 ;204,256 ;203,298 ;NAN
566;2025/08/20;13:59:30;235;210,991 ;210,852 ;210,646 ;210,830 ;0,97400E+03;0,98694E+03;0,99465E+03;0,98520E+03;167,268E+03;170,270E+03;171,582E+03;509,119E+03;57,316 ;57,302 ;119,390E+03;119,635E+03;120,242E+03;359,266E+03;205,505E+03;208,097E+03;209,519E+03;623,122E+03;0,81393 ;0,81823 ;0,81893 ;0,81705 ;38,164 ;38,398 ;38,484 ;6,011 ;5,995 ;5,921 ;1,597 ;1,648 ;1,643 ;1,597 ;1,586 ;1,596 ;-0,00137E+03;0,00024E+03;0,00086E+03;0,99868E+03;1,01388E+03;1,03991E+03;204,709 ;204,429 ;204,043 ;NAN
567;2025/08/20;13:59:30;737;213,336 ;213,250 ;213,005 ;213,197 ;0,92660E+03;0,93847E+03;0,94741E+03;0,93749E+03;161,706E+03;164,421E+03;165,969E+03;492,097E+03;57,367 ;57,372 ;113,698E+03;114,092E+03;114,801E+03;342,591E+03;197,677E+03;200,129E+03;201,804E+03;599,609E+03;0,81803 ;0,82158 ;0,82243 ;0,82070 ;38,388 ;38,233 ;38,247 ;6,450 ;6,496 ;6,363 ;1,593 ;1,625 ;1,641 ;1,586 ;1,576 ;1,579 ;-0,00017E+03;0,00005E+03;0,00003E+03;0,94418E+03;0,93993E+03;0,97418E+03;207,900 ;209,303 ;208,871 ;NAN
568;2025/08/20;13:59:31;237;214,237 ;214,134 ;213,893 ;214,088 ;0,91870E+03;0,93151E+03;0,93831E+03;0,92951E+03;161,082E+03;164,090E+03;165,267E+03;490,439E+03;57,298 ;57,301 ;113,096E+03;113,412E+03;113,870E+03;340,378E+03;196,820E+03;199,469E+03;200,697E+03;596,986E+03;0,81842 ;0,82263 ;0,82346 ;0,82152 ;38,379 ;38,227 ;38,353 ;6,441 ;6,483 ;6,639 ;1,604 ;1,654 ;1,605 ;1,578 ;1,580 ;1,572 ;0,00067E+03;0,00046E+03;-0,00079E+03;0,93302E+03;0,94440E+03;0,93622E+03;208,988 ;208,425 ;208,410 ;NAN
569;2025/08/20;13:59:31;737;213,563 ;213,462 ;213,181 ;213,402 ;0,91738E+03;0,93165E+03;0,93740E+03;0,92881E+03;161,046E+03;164,298E+03;165,361E+03;490,704E+03;57,218 ;57,211 ;111,573E+03;112,054E+03;112,204E+03;335,831E+03;195,919E+03;198,871E+03;199,835E+03;594,625E+03;0,82200 ;0,82615 ;0,82749 ;0,82523 ;38,640 ;38,003 ;38,069 ;6,671 ;6,442 ;6,629 ;1,606 ;1,629 ;1,606 ;1,574 ;1,569 ;1,581 ;0,00051E+03;-0,00106E+03;0,00021E+03;0,89929E+03;0,92529E+03;0,92950E+03;208,937 ;209,308 ;209,174 ;NAN
570;2025/08/20;13:59:32;236;214,377 ;214,318 ;214,041 ;214,245 ;0,91062E+03;0,92420E+03;0,93215E+03;0,92233E+03;160,375E+03;163,394E+03;164,871E+03;488,640E+03;57,234 ;57,236 ;111,308E+03;111,961E+03;112,364E+03;335,632E+03;195,216E+03;198,073E+03;199,519E+03;592,809E+03;0,82152 ;0,82492 ;0,82634 ;0,82428 ;38,336 ;38,234 ;38,283 ;6,690 ;6,441 ;6,505 ;1,626 ;1,648 ;1,632 ;1,580 ;1,577 ;1,579 ;-0,00187E+03;0,00116E+03;-0,00050E+03;0,90741E+03;0,94263E+03;0,95677E+03;209,844 ;210,114 ;210,076 ;NAN
571;2025/08/20;13:59:32;737;214,870 ;214,830 ;214,583 ;214,761 ;0,91166E+03;0,92608E+03;0,93217E+03;0,92330E+03;160,637E+03;163,976E+03;165,138E+03;489,751E+03;57,223 ;57,226 ;112,107E+03;112,662E+03;112,875E+03;337,644E+03;195,888E+03;198,950E+03;200,028E+03;594,866E+03;0,82004 ;0,82421 ;0,82557 ;0,82330 ;37,943 ;38,550 ;38,421 ;6,553 ;6,566 ;6,684 ;1,624 ;1,625 ;1,640 ;1,583 ;1,575 ;1,570 ;0,00151E+03;-0,00164E+03;-0,00027E+03;0,92899E+03;0,92489E+03;0,93768E+03;210,049 ;208,686 ;209,040 ;NAN
572;2025/08/20;13:59:33;239;214,563 ;214,474 ;214,238 ;214,425 ;0,91214E+03;0,92554E+03;0,93183E+03;0,92317E+03;160,879E+03;163,991E+03;165,156E+03;490,026E+03;57,192 ;57,190 ;111,449E+03;111,852E+03;112,147E+03;335,448E+03;195,711E+03;198,504E+03;199,633E+03;593,849E+03;0,82202 ;0,82613 ;0,82730 ;0,82517 ;37,872 ;38,627 ;38,179 ;6,523 ;6,679 ;6,626 ;1,605 ;1,605 ;1,639 ;1,569 ;1,576 ;1,572 ;-0,00027E+03;0,00016E+03;0,00105E+03;0,93182E+03;0,91863E+03;0,93101E+03;210,215 ;209,527 ;209,787 ;NAN
573;2025/08/20;13:59:33;737;214,837 ;214,742 ;214,502 ;214,693 ;0,91237E+03;0,92429E+03;0,93230E+03;0,92299E+03;161,052E+03;163,834E+03;165,218E+03;490,104E+03;57,202 ;57,206 ;111,726E+03;112,044E+03;112,673E+03;336,443E+03;196,011E+03;198,483E+03;199,981E+03;594,475E+03;0,82165 ;0,82543 ;0,82617 ;0,82443 ;38,215 ;38,632 ;38,377 ;6,568 ;6,558 ;6,743 ;1,641 ;1,610 ;1,620 ;1,574 ;1,580 ;1,569 ;-0,00141E+03;0,00160E+03;-0,00099E+03;0,92556E+03;0,92765E+03;0,92644E+03;210,681 ;209,922 ;209,719 ;NAN
574;2025/08/20;13:59:34;238;214,815 ;214,689 ;214,446 ;214,650 ;0,91366E+03;0,92596E+03;0,93235E+03;0,92399E+03;161,248E+03;164,182E+03;165,262E+03;490,691E+03;57,198 ;57,194 ;111,893E+03;112,087E+03;112,536E+03;336,516E+03;196,268E+03;198,794E+03;199,939E+03;595,001E+03;0,82157 ;0,82589 ;0,82656 ;0,82469 ;38,275 ;38,234 ;38,453 ;6,655 ;6,463 ;6,738 ;1,627 ;1,602 ;1,641 ;1,576 ;1,574 ;1,572 ;0,00048E+03;-0,00112E+03;-0,00017E+03;0,90618E+03;0,93028E+03;0,91639E+03;209,322 ;209,198 ;208,992 ;NAN
575;2025/08/20;13:59:34;737;214,698 ;214,611 ;214,360 ;214,556 ;0,91236E+03;0,92495E+03;0,93235E+03;0,92322E+03;161,123E+03;164,032E+03;165,350E+03;490,505E+03;57,197 ;57,194 ;111,397E+03;111,791E+03;112,261E+03;335,449E+03;195,882E+03;198,504E+03;199,857E+03;594,244E+03;0,82255 ;0,82634 ;0,82734 ;0,82543 ;38,030 ;38,374 ;38,674 ;6,673 ;6,469 ;6,662 ;1,628 ;1,636 ;1,638 ;1,565 ;1,570 ;1,569 ;0,00059E+03;-0,00022E+03;0,00117E+03;0,90272E+03;0,93237E+03;0,93508E+03;209,815 ;209,905 ;209,668 ;NAN
576;2025/08/20;13:59:35;238;214,705 ;214,596 ;214,386 ;214,562 ;0,91484E+03;0,92699E+03;0,93413E+03;0,92532E+03;161,368E+03;164,245E+03;165,483E+03;491,096E+03;57,194 ;57,197 ;111,988E+03;112,232E+03;112,786E+03;337,006E+03;196,420E+03;198,928E+03;200,263E+03;595,612E+03;0,82154 ;0,82565 ;0,82633 ;0,82452 ;38,046 ;38,951 ;38,098 ;6,612 ;6,563 ;6,627 ;1,611 ;1,609 ;1,644 ;1,569 ;1,575 ;1,573 ;-0,00039E+03;0,00001E+03;-0,00087E+03;0,91349E+03;0,92186E+03;0,93499E+03;209,695 ;209,479 ;209,095 ;NAN
577;2025/08/20;13:59:35;738;214,752 ;214,631 ;214,393 ;214,592 ;0,91263E+03;0,92523E+03;0,93232E+03;0,92340E+03;161,071E+03;163,994E+03;165,244E+03;490,308E+03;57,198 ;57,199 ;111,661E+03;111,989E+03;112,464E+03;336,114E+03;195,990E+03;198,584E+03;199,884E+03;594,458E+03;0,82183 ;0,82582 ;0,82670 ;0,82480 ;38,182 ;38,631 ;38,435 ;6,552 ;6,666 ;6,752 ;1,635 ;1,613 ;1,597 ;1,580 ;1,575 ;1,576 ;0,00073E+03;-0,00027E+03;-0,00010E+03;0,91837E+03;0,91910E+03;0,92527E+03;210,008 ;209,031 ;210,091 ;NAN
578;2025/08/20;13:59:36;238;214,760 ;214,649 ;214,422 ;214,611 ;0,91122E+03;0,92304E+03;0,93124E+03;0,92183E+03;160,992E+03;163,728E+03;165,150E+03;489,871E+03;57,202 ;57,199 ;111,254E+03;111,572E+03;112,234E+03;335,060E+03;195,694E+03;198,130E+03;199,678E+03;593,501E+03;0,82268 ;0,82637 ;0,82709 ;0,82539 ;38,257 ;38,455 ;38,767 ;6,587 ;6,573 ;6,697 ;1,604 ;1,585 ;1,623 ;1,575 ;1,574 ;1,571 ;-0,00009E+03;0,00090E+03;0,00058E+03;0,91511E+03;0,92994E+03;0,92495E+03;210,387 ;209,910 ;209,982 ;NAN
579;2025/08/20;13:59:36;740;214,881 ;214,790 ;214,562 ;214,744 ;0,91462E+03;0,92685E+03;0,93426E+03;0,92524E+03;161,374E+03;164,248E+03;165,548E+03;491,170E+03;57,201 ;57,198 ;112,180E+03;112,493E+03;113,035E+03;337,707E+03;196,535E+03;199,078E+03;200,457E+03;596,069E+03;0,82110 ;0,82504 ;0,82585 ;0,82401 ;38,180 ;37,935 ;38,548 ;6,662 ;6,527 ;6,647 ;1,617 ;1,600 ;1,656 ;1,570 ;1,572 ;1,570 ;0,00005E+03;-0,00042E+03;0,00005E+03;0,91546E+03;0,93767E+03;0,93684E+03;210,625 ;209,723 ;209,614 ;NAN
580;2025/08/20;13:59:37;236;214,606 ;214,523 ;214,310 ;214,479 ;0,91133E+03;0,92417E+03;0,93087E+03;0,92212E+03;160,908E+03;163,926E+03;165,131E+03;489,965E+03;57,193 ;57,189 ;111,171E+03;111,505E+03;111,936E+03;334,612E+03;195,577E+03;198,255E+03;199,494E+03;593,326E+03;0,82273 ;0,82684 ;0,82775 ;0,82579 ;38,468 ;38,225 ;38,545 ;6,683 ;6,601 ;6,604 ;1,599 ;1,625 ;1,619 ;1,574 ;1,577 ;1,580 ;0,00177E+03;-0,00084E+03;-0,00015E+03;0,90288E+03;0,93230E+03;0,94357E+03;210,347 ;210,466 ;209,773 ;NAN
581;2025/08/20;13:59:37;737;214,840 ;214,730 ;214,504 ;214,691 ;0,91339E+03;0,92617E+03;0,93339E+03;0,92432E+03;161,102E+03;164,057E+03;165,350E+03;490,510E+03;57,199 ;57,202 ;112,042E+03;112,412E+03;112,898E+03;337,353E+03;196,233E+03;198,875E+03;200,216E+03;595,325E+03;0,82097 ;0,82493 ;0,82586 ;0,82394 ;38,500 ;38,354 ;37,328 ;6,662 ;6,713 ;6,538 ;1,622 ;1,614 ;1,614 ;1,568 ;1,579 ;1,568 ;-0,00094E+03;0,00060E+03;0,00000E+03;0,90892E+03;0,92206E+03;0,95421E+03;209,345 ;210,578 ;209,419 ;NAN
582;2025/08/20;13:59:38;236;214,739 ;214,635 ;214,375 ;214,583 ;0,91235E+03;0,92459E+03;0,93201E+03;0,92298E+03;161,151E+03;164,008E+03;165,287E+03;490,446E+03;57,195 ;57,198 ;111,418E+03;111,728E+03;112,251E+03;335,397E+03;195,917E+03;198,449E+03;199,801E+03;594,167E+03;0,82255 ;0,82645 ;0,82726 ;0,82544 ;38,743 ;38,971 ;37,840 ;6,537 ;6,751 ;6,579 ;1,642 ;1,616 ;1,630 ;1,575 ;1,572 ;1,570 ;-0,00009E+03;0,00036E+03;-0,00038E+03;0,92034E+03;0,90786E+03;0,93949E+03;210,640 ;209,881 ;211,473 ;NAN
583;2025/08/20;13:59:38;735;214,769 ;214,689 ;214,450 ;214,636 ;0,91302E+03;0,92547E+03;0,93288E+03;0,92379E+03;161,202E+03;164,113E+03;165,421E+03;490,736E+03;57,201 ;57,199 ;111,643E+03;112,001E+03;112,510E+03;336,155E+03;196,088E+03;198,689E+03;200,057E+03;594,833E+03;0,82209 ;0,82598 ;0,82687 ;0,82500 ;37,992 ;38,647 ;37,914 ;6,533 ;6,685 ;6,749 ;1,633 ;1,602 ;1,637 ;1,567 ;1,562 ;1,565 ;0,00025E+03;-0,00079E+03;0,00063E+03;0,93701E+03;0,91876E+03;0,92782E+03;210,416 ;209,740 ;210,027 ;NAN
584;2025/08/20;13:59:39;235;214,556 ;214,461 ;214,219 ;214,412 ;0,91334E+03;0,92646E+03;0,93288E+03;0,92423E+03;161,203E+03;164,258E+03;165,399E+03;490,860E+03;57,193 ;57,192 ;111,422E+03;111,791E+03;112,158E+03;335,371E+03;195,962E+03;198,690E+03;199,841E+03;594,493E+03;0,82262 ;0,82670 ;0,82765 ;0,82568 ;37,909 ;38,668 ;38,448 ;6,575 ;6,492 ;6,807 ;1,640 ;1,601 ;1,653 ;1,566 ;1,575 ;1,572 ;-0,00012E+03;0,00012E+03;0,00011E+03;0,92520E+03;0,93483E+03;0,91199E+03;209,821 ;209,517 ;209,624 ;NAN
585;2025/08/20;13:59:39;735;214,871 ;214,763 ;214,522 ;214,719 ;0,91460E+03;0,92705E+03;0,93252E+03;0,92472E+03;161,338E+03;164,385E+03;165,268E+03;490,992E+03;57,201 ;57,206 ;112,208E+03;112,325E+03;112,714E+03;337,246E+03;196,521E+03;199,096E+03;200,045E+03;595,662E+03;0,82097 ;0,82566 ;0,82615 ;0,82428 ;37,749 ;38,582 ;38,171 ;6,633 ;6,461 ;6,700 ;1,612 ;1,613 ;1,629 ;1,583 ;1,575 ;1,575 ;0,00005E+03;-0,00018E+03;-0,00009E+03;0,91813E+03;0,94184E+03;0,92986E+03;210,896 ;209,722 ;209,410 ;NAN
586;2025/08/20;13:59:40;236;228,049 ;227,432 ;227,331 ;227,604 ;0,75064E+03;0,75886E+03;0,76718E+03;0,75889E+03;119,347E+03;120,930E+03;122,524E+03;362,802E+03;58,117 ;57,914 ;122,718E+03;123,136E+03;124,113E+03;369,967E+03;171,182E+03;172,588E+03;174,403E+03;518,173E+03;0,69719 ;0,70069 ;0,70254 ;0,70016 ;38,634 ;38,127 ;38,261 ;6,842 ;6,621 ;6,528 ;1,700 ;1,749 ;1,720 ;1,897 ;1,907 ;1,892 ;0,00276E+03;-0,00374E+03;0,00152E+03;0,89812E+03;0,93635E+03;0,93626E+03;209,237 ;209,966 ;208,849 ;NAN
587;2025/08/20;13:59:40;735;247,150 ;247,125 ;247,104 ;247,126 ;0,43602E+03;0,43841E+03;0,44570E+03;0,44004E+03;64,414E+03;65,235E+03;66,135E+03;195,784E+03;58,146 ;58,194 ;86,393E+03;86,501E+03;88,066E+03;260,959E+03;107,763E+03;108,342E+03;110,134E+03;326,238E+03;0,59774 ;0,60212 ;0,60050 ;0,60012 ;38,242 ;38,550 ;38,641 ;13,392 ;13,205 ;13,544 ;1,625 ;1,625 ;1,624 ;1,939 ;1,951 ;1,908 ;0,00028E+03;-0,00028E+03;-0,00016E+03;0,49029E+03;0,49820E+03;0,49341E+03;244,248 ;244,822 ;244,013 ;NAN
588;2025/08/20;13:59:41;237;249,512 ;249,442 ;249,318 ;249,424 ;0,35670E+03;0,35973E+03;0,36415E+03;0,36019E+03;48,261E+03;49,280E+03;49,778E+03;147,320E+03;57,655 ;57,671 ;74,779E+03;74,988E+03;75,925E+03;225,692E+03;89,000E+03;89,732E+03;90,788E+03;269,520E+03;0,54226 ;0,54920 ;0,54829 ;0,54660 ;40,055 ;39,119 ;39,642 ;15,599 ;15,174 ;15,272 ;1,606 ;1,600 ;1,599 ;1,810 ;1,804 ;1,792 ;0,00047E+03;-0,00073E+03;-0,00030E+03;0,32930E+03;0,33823E+03;0,34751E+03;238,636 ;238,994 ;239,318 ;NAN
589;2025/08/20;13:59:41;738;246,709 ;246,578 ;246,447 ;246,578 ;0,32520E+03;0,32835E+03;0,33251E+03;0,32869E+03;48,986E+03;49,868E+03;50,520E+03;149,374E+03;57,242 ;57,226 ;63,538E+03;63,785E+03;64,520E+03;191,842E+03;80,229E+03;80,965E+03;81,945E+03;243,139E+03;0,61058 ;0,61592 ;0,61651 ;0,61436 ;39,524 ;39,581 ;38,809 ;15,832 ;16,166 ;16,095 ;1,608 ;1,615 ;1,610 ;1,734 ;1,734 ;1,730 ;0,00007E+03;-0,00034E+03;0,00141E+03;0,32383E+03;0,31664E+03;0,32591E+03;241,648 ;241,467 ;241,611 ;NAN
590;2025/08/20;13:59:42;237;247,895 ;247,747 ;247,595 ;247,746 ;0,31414E+03;0,31741E+03;0,32099E+03;0,31751E+03;44,024E+03;44,944E+03;45,465E+03;134,433E+03;57,170 ;57,143 ;64,234E+03;64,527E+03;65,188E+03;193,949E+03;77,873E+03;78,637E+03;79,476E+03;235,986E+03;0,56533 ;0,57154 ;0,57206 ;0,56967 ;39,758 ;39,720 ;39,090 ;15,683 ;16,255 ;16,453 ;1,604 ;1,599 ;1,608 ;1,766 ;1,761 ;1,764 ;-0,00039E+03;0,00070E+03;-0,00099E+03;0,33423E+03;0,32611E+03;0,32990E+03;241,714 ;241,795 ;242,012 ;NAN
591;2025/08/20;13:59:42;737;249,286 ;249,162 ;249,009 ;249,152 ;0,29890E+03;0,30054E+03;0,30422E+03;0,30122E+03;38,103E+03;38,887E+03;39,090E+03;116,080E+03;57,150 ;57,130 ;64,033E+03;63,994E+03;64,890E+03;192,916E+03;74,512E+03;74,883E+03;75,754E+03;225,149E+03;0,51137 ;0,51930 ;0,51601 ;0,51557 ;38,899 ;39,771 ;39,192 ;16,390 ;16,586 ;16,478 ;1,591 ;1,613 ;1,594 ;1,822 ;1,821 ;1,811 ;0,00041E+03;-0,00108E+03;-0,00020E+03;0,30804E+03;0,30729E+03;0,31286E+03;242,963 ;241,853 ;243,420 ;NAN
592;2025/08/20;13:59:43;238;249,730 ;249,583 ;249,452 ;249,588 ;0,28428E+03;0,28646E+03;0,29018E+03;0,28697E+03;33,969E+03;34,699E+03;35,054E+03;103,722E+03;57,109 ;57,101 ;62,338E+03;62,512E+03;63,333E+03;188,182E+03;70,993E+03;71,496E+03;72,386E+03;214,875E+03;0,47848 ;0,48533 ;0,48426 ;0,48271 ;39,952 ;40,045 ;39,917 ;16,919 ;16,483 ;17,014 ;1,593 ;1,601 ;1,596 ;1,837 ;1,825 ;1,828 ;0,00020E+03;0,00025E+03;-0,00003E+03;0,28211E+03;0,28982E+03;0,28846E+03;243,263 ;242,564 ;242,936 ;NAN
593;2025/08/20;13:59:43;737;248,662 ;248,593 ;248,489 ;248,581 ;0,27695E+03;0,27925E+03;0,28346E+03;0,27988E+03;34,145E+03;34,770E+03;35,290E+03;104,204E+03;57,043 ;57,063 ;59,806E+03;60,083E+03;60,958E+03;180,847E+03;68,867E+03;69,419E+03;70,436E+03;208,721E+03;0,49581 ;0,50087 ;0,50102 ;0,49925 ;39,929 ;40,087 ;39,931 ;17,157 ;16,630 ;16,953 ;1,607 ;1,604 ;1,605 ;1,826 ;1,810 ;1,798 ;-0,00046E+03;0,00025E+03;0,00013E+03;0,27377E+03;0,28246E+03;0,28444E+03;243,287 ;243,893 ;242,845 ;NAN
594;2025/08/20;13:59:44;237;248,455 ;248,353 ;248,224 ;248,344 ;0,28378E+03;0,28615E+03;0,29028E+03;0,28674E+03;34,999E+03;35,662E+03;36,155E+03;106,816E+03;57,020 ;57,022 ;61,206E+03;61,470E+03;62,327E+03;185,003E+03;70,506E+03;71,065E+03;72,055E+03;213,626E+03;0,49640 ;0,50182 ;0,50178 ;0,50002 ;40,112 ;39,806 ;39,943 ;16,658 ;16,651 ;16,796 ;1,597 ;1,594 ;1,616 ;1,849 ;1,844 ;1,822 ;-0,00057E+03;0,00008E+03;-0,00027E+03;0,28349E+03;0,28254E+03;0,28753E+03;242,560 ;242,277 ;242,472 ;NAN
595;2025/08/20;13:59:44;738;247,241 ;247,145 ;246,997 ;247,128 ;0,28061E+03;0,28263E+03;0,28613E+03;0,28312E+03;35,561E+03;36,309E+03;36,602E+03;108,471E+03;57,012 ;57,003 ;59,571E+03;59,673E+03;60,457E+03;179,700E+03;69,378E+03;69,851E+03;70,673E+03;209,902E+03;0,51257 ;0,51980 ;0,51790 ;0,51677 ;39,824 ;40,162 ;39,977 ;17,015 ;16,675 ;16,887 ;1,603 ;1,602 ;1,596 ;1,896 ;1,874 ;1,875 ;0,00003E+03;-0,00018E+03;-0,00008E+03;0,27560E+03;0,28032E+03;0,28196E+03;242,486 ;241,692 ;241,831 ;NAN
596;2025/08/20;13:59:45;238;247,029 ;246,945 ;246,828 ;246,934 ;0,28031E+03;0,28187E+03;0,28645E+03;0,28288E+03;35,720E+03;36,252E+03;36,700E+03;108,672E+03;57,011 ;57,025 ;59,321E+03;59,421E+03;60,433E+03;179,174E+03;69,245E+03;69,606E+03;70,703E+03;209,555E+03;0,51585 ;0,52082 ;0,51907 ;0,51859 ;39,785 ;39,141 ;40,120 ;16,684 ;16,528 ;16,591 ;1,602 ;1,619 ;1,604 ;1,872 ;1,860 ;1,853 ;-0,00011E+03;-0,00011E+03;0,00094E+03;0,29252E+03;0,29445E+03;0,30165E+03;242,814 ;242,294 ;242,291 ;NAN
597;2025/08/20;13:59:45;737;247,088 ;247,035 ;246,889 ;247,004 ;0,28536E+03;0,28835E+03;0,29216E+03;0,28862E+03;35,781E+03;36,540E+03;37,089E+03;109,410E+03;57,023 ;57,027 ;60,757E+03;61,147E+03;61,864E+03;183,768E+03;70,510E+03;71,233E+03;72,130E+03;213,873E+03;0,50746 ;0,51296 ;0,51419 ;0,51156 ;39,817 ;39,388 ;39,986 ;16,849 ;16,624 ;16,827 ;1,617 ;1,604 ;1,595 ;1,851 ;1,835 ;1,842 ;-0,00007E+03;-0,00031E+03;-0,00027E+03;0,28131E+03;0,28428E+03;0,28537E+03;240,588 ;240,512 ;240,585 ;NAN
598;2025/08/20;13:59:46;238;246,856 ;246,761 ;246,631 ;246,749 ;0,28432E+03;0,28661E+03;0,29030E+03;0,28708E+03;35,855E+03;36,603E+03;36,985E+03;109,443E+03;57,019 ;57,024 ;60,337E+03;60,515E+03;61,306E+03;182,157E+03;70,187E+03;70,724E+03;71,598E+03;212,508E+03;0,51086 ;0,51755 ;0,51656 ;0,51501 ;39,980 ;40,018 ;39,708 ;16,623 ;17,012 ;16,933 ;1,600 ;1,605 ;1,600 ;1,830 ;1,805 ;1,799 ;0,00036E+03;0,00103E+03;-0,00085E+03;0,28413E+03;0,27958E+03;0,28521E+03;240,153 ;239,964 ;240,103 ;NAN
599;2025/08/20;13:59:46;736;246,319 ;246,205 ;246,071 ;246,198 ;0,28386E+03;0,28598E+03;0,28979E+03;0,28655E+03;36,171E+03;36,874E+03;37,266E+03;110,311E+03;57,020 ;57,007 ;59,838E+03;59,982E+03;60,798E+03;180,617E+03;69,921E+03;70,410E+03;71,310E+03;211,640E+03;0,51731 ;0,52370 ;0,52259 ;0,52122 ;39,831 ;40,015 ;39,845 ;16,710 ;17,038 ;17,120 ;1,603 ;1,615 ;1,602 ;1,819 ;1,782 ;1,806 ;0,00016E+03;-0,00048E+03;0,00029E+03;0,28167E+03;0,27603E+03;0,28071E+03;239,711 ;239,854 ;240,324 ;NAN
600;2025/08/20;13:59:47;237;245,949 ;245,813 ;245,687 ;245,816 ;0,28361E+03;0,28590E+03;0,29001E+03;0,28651E+03;36,199E+03;36,845E+03;37,347E+03;110,391E+03;57,020 ;57,013 ;59,625E+03;59,843E+03;60,681E+03;180,149E+03;69,753E+03;70,277E+03;71,253E+03;211,283E+03;0,51896 ;0,52429 ;0,52414 ;0,52248 ;39,573 ;39,840 ;40,086 ;16,670 ;16,719 ;16,905 ;1,601 ;1,600 ;1,598 ;1,808 ;1,782 ;1,803 ;-0,00061E+03;-0,00018E+03;0,00007E+03;0,28451E+03;0,28595E+03;0,28851E+03;240,360 ;239,859 ;240,014 ;NAN
